# x	y	u	v	mask
 80.0000	 32.0000	 -0.3459	 -0.8740	  0.0000
 88.0000	 32.0000	 -0.3160	 -0.5233	  0.0000
 96.0000	 32.0000	  1.2822	 -0.4685	  0.0000
104.0000	 32.0000	 -0.7380	 -0.3279	  0.0000
112.0000	 32.0000	 -0.1750	 -0.4164	  0.0000
120.0000	 32.0000	 -0.6682	 -0.3938	  0.0000
128.0000	 32.0000	  0.1155	  0.5836	  0.0000
136.0000	 32.0000	 -0.3479	  1.2487	  0.0000
144.0000	 32.0000	 -1.2404	  1.5673	  0.0000
152.0000	 32.0000	 -2.7909	  2.2367	  0.0000
160.0000	 32.0000	 -3.4159	  2.1323	  0.0000
168.0000	 32.0000	 -4.9254	 13.7192	  0.0000
176.0000	 32.0000	 -4.5417	 13.0777	  0.0000
184.0000	 32.0000	 -1.8894	-19.3852	  0.0000
192.0000	 32.0000	 -3.2412	 -8.5943	  0.0000
200.0000	 32.0000	 -4.7930	 -7.5796	  0.0000
208.0000	 32.0000	  5.6576	 -1.3038	  0.0000
216.0000	 32.0000	  3.8661	  7.9802	  0.0000
224.0000	 32.0000	 -3.8399	 10.3153	  0.0000
232.0000	 32.0000	-10.8225	  7.1364	  0.0000
240.0000	 32.0000	 -9.1166	  4.5834	  0.0000
248.0000	 32.0000	 -6.9443	 -2.8530	  0.0000
256.0000	 32.0000	-17.4130	 -1.9171	  0.0000
264.0000	 32.0000	 -8.8584	 -3.1888	  0.0000
272.0000	 32.0000	 -3.4091	 -0.3613	  0.0000
280.0000	 32.0000	 -1.5581	  1.8492	  0.0000
288.0000	 32.0000	-17.8798	  3.1284	  0.0000
296.0000	 32.0000	 -9.8550	  5.7926	  0.0000
304.0000	 32.0000	-23.7237	  5.5421	  0.0000
312.0000	 32.0000	-48.7448	  7.0736	  1.0000
320.0000	 32.0000	-26.7048	  1.3510	  0.0000
328.0000	 32.0000	-73.3041	  0.1644	  0.0000
336.0000	 32.0000	-68.7454	  4.4885	  0.0000
344.0000	 32.0000	-67.1436	  8.3698	  0.0000
352.0000	 32.0000	-31.5199	  8.3417	  0.0000
360.0000	 32.0000	-22.4043	  2.5252	  0.0000
368.0000	 32.0000	-41.9581	  2.6311	  0.0000
376.0000	 32.0000	-44.3209	 -2.0074	  0.0000
384.0000	 32.0000	-49.7069	 -6.7699	  0.0000
392.0000	 32.0000	-12.6658	 -4.1841	  0.0000
400.0000	 32.0000	-15.4451	 -0.3831	  0.0000
408.0000	 32.0000	-54.9262	  2.8815	  0.0000
416.0000	 32.0000	-19.5119	 -1.9348	  0.0000
424.0000	 32.0000	-11.8885	 -1.5547	  0.0000
432.0000	 32.0000	-20.0169	 -1.0870	  0.0000
440.0000	 32.0000	-23.7786	 -3.0126	  0.0000
448.0000	 32.0000	-12.2825	 -4.6526	  0.0000
456.0000	 32.0000	 -4.7957	-10.3165	  0.0000
464.0000	 32.0000	 -9.4397	-20.3839	  1.0000
472.0000	 32.0000	-13.3250	 -9.5902	  0.0000
480.0000	 32.0000	-22.2499	  3.1448	  1.0000
488.0000	 32.0000	 -9.0004	 -5.6711	  1.0000
496.0000	 32.0000	-14.9545	 -7.9296	  0.0000
504.0000	 32.0000	 -0.1801	 -0.0118	  0.0000
512.0000	 32.0000	 -0.0490	  0.0482	  0.0000
520.0000	 32.0000	  0.1556	  0.0798	  0.0000
528.0000	 32.0000	  0.0372	  0.0645	  0.0000
536.0000	 32.0000	  0.3578	 -0.0009	  0.0000
544.0000	 32.0000	 -0.0773	  0.1908	  0.0000
552.0000	 32.0000	     nan	     nan	  1.0000
560.0000	 32.0000	     nan	     nan	  1.0000
568.0000	 32.0000	     nan	     nan	  1.0000
576.0000	 32.0000	     nan	     nan	  1.0000
584.0000	 32.0000	     nan	     nan	  1.0000
592.0000	 32.0000	     nan	     nan	  1.0000
600.0000	 32.0000	     nan	     nan	  1.0000
608.0000	 32.0000	     nan	     nan	  1.0000
616.0000	 32.0000	     nan	     nan	  1.0000
624.0000	 32.0000	     nan	     nan	  1.0000
632.0000	 32.0000	     nan	     nan	  1.0000
640.0000	 32.0000	     nan	     nan	  1.0000
648.0000	 32.0000	 -2.9610	  8.8767	  1.0000
